Week,Round,Rink,Team 1,Team 2
1,1,A,2,3
1,1,B,4,5
1,1,C,1,6
1,1,D,7,8
1,2,A,1,5
1,2,B,3,7
1,2,C,4,8
1,2,D,2,6
2,3,A,2,8
2,3,B,1,3
2,3,C,4,7
2,3,D,5,6
2,4,A,5,7
2,4,B,4,6
2,4,C,1,2
2,4,D,3,8
3,5,A,1,7
3,5,B,2,4
3,5,C,6,8
3,5,D,3,5
3,6,A,5,8
3,6,B,3,6
3,6,C,1,4
3,6,D,2,7
4,7,A,6,7
4,7,B,1,8
4,7,C,4,5
4,7,D,2,3
4,8,A,4,8
4,8,B,2,6
4,8,C,3,7
4,8,D,1,5
5,9,A,1,3
5,9,B,4,7
5,9,C,2,8
5,9,D,5,6
5,10,A,2,5
5,10,B,1,6
5,10,C,3,4
5,10,D,7,8
6,11,A,3,5
6,11,B,2,4
6,11,C,1,7
6,11,D,6,8
6,12,A,2,7
6,12,B,5,8
6,12,C,3,6
6,12,D,1,4
7,13,A,4,6
7,13,B,5,7
7,13,C,3,8
7,13,D,1,2
7,14,A,3,7
7,14,B,1,8
7,14,C,2,6
7,14,D,4,5
8,15,A,2,3
8,15,B,4,8
8,15,C,6,7
8,15,D,1,5
8,16,A,7,8
8,16,B,1,6
8,16,C,2,5
8,16,D,3,4
9,17,A,3,5
9,17,B,1,7
9,17,C,2,4
9,17,D,6,8
9,18,A,4,7
9,18,B,2,8
9,18,C,5,6
9,18,D,1,3
10,19,A,3,6
10,19,B,1,4
10,19,C,5,8
10,19,D,2,7
10,20,A,5,7
10,20,B,3,8
10,20,C,1,2
10,20,D,4,6
