Week,Round,Rink,Team 1,Team 2
1,1,A,5,6
1,1,B,2,4
1,1,C,1,3
1,1,D,7,8
1,2,A,4,8
1,2,B,3,7
1,2,C,2,5
1,2,D,1,6
2,3,A,1,2
2,3,B,5,7
2,3,C,4,6
2,3,D,3,8
2,4,A,4,5
2,4,B,3,6
2,4,C,2,8
2,4,D,1,7
3,5,A,1,5
3,5,B,2,7
3,5,C,3,4
3,5,D,6,8
3,6,A,2,6
3,6,B,3,5
3,6,C,1,8
3,6,D,4,7
4,7,A,1,4
4,7,B,2,3
4,7,C,5,8
4,7,D,6,7
4,8,A,7,8
4,8,B,5,6
4,8,C,2,4
4,8,D,1,3
5,9,A,2,5
5,9,B,3,7
5,9,C,1,6
5,9,D,4,8
5,10,A,3,8
5,10,B,4,6
5,10,C,5,7
5,10,D,1,2
6,11,A,1,7
6,11,B,2,8
6,11,C,3,6
6,11,D,4,5
6,12,A,6,8
6,12,B,3,4
6,12,C,1,5
6,12,D,2,7
7,13,A,1,8
7,13,B,2,6
7,13,C,4,7
7,13,D,3,5
7,14,A,6,7
7,14,B,5,8
7,14,C,2,3
7,14,D,1,4
8,15,A,5,6
8,15,B,2,4
8,15,C,1,3
8,15,D,7,8
8,16,A,4,8
8,16,B,3,7
8,16,C,2,5
8,16,D,1,6
9,17,A,1,2
9,17,B,5,7
9,17,C,4,6
9,17,D,3,8
9,18,A,4,5
9,18,B,3,6
9,18,C,2,8
9,18,D,1,7
10,19,A,1,5
10,19,B,2,7
10,19,C,3,4
10,19,D,6,8
10,20,A,4,7
10,20,B,1,8
10,20,C,2,6
10,20,D,3,5
